Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2015 12:00:00 AM,Unknown,F,30 to 39,4616,394,8.54
01/01/2015 12:00:00 AM,Unknown,F,40 to 49,4181,351,8.4
01/01/2015 12:00:00 AM,Unknown,F,50 to 59,4179,389,9.31
01/01/2015 12:00:00 AM,Unknown,F,60 to 69,3396,318,9.36
01/01/2015 12:00:00 AM,Unknown,F,70 to 79,1819,169,9.29
01/01/2015 12:00:00 AM,Unknown,F,80 +,1347,99,7.35
01/01/2015 12:00:00 AM,Unknown,M,0 to 9,2914,152,5.22
01/01/2015 12:00:00 AM,Unknown,M,10 to 19,2552,428,16.77
01/01/2015 12:00:00 AM,Unknown,M,20 to 29,5656,922,16.3
01/01/2015 12:00:00 AM,Unknown,M,30 to 39,4229,277,6.55
01/01/2015 12:00:00 AM,Unknown,M,40 to 49,3964,168,4.24
01/01/2015 12:00:00 AM,Unknown,M,50 to 59,4018,176,4.38
01/01/2015 12:00:00 AM,Unknown,M,60 to 69,3099,136,4.39
01/01/2015 12:00:00 AM,Unknown,M,70 to 79,1662,82,4.93
01/01/2015 12:00:00 AM,Unknown,M,80 +,893,41,4.59
01/01/2015 12:00:00 AM,Western,F,0 to 9,8425,438,5.2
01/01/2015 12:00:00 AM,Western,F,10 to 19,9673,1696,17.53
01/01/2015 12:00:00 AM,Western,F,20 to 29,10352,1948,18.82
01/01/2015 12:00:00 AM,Western,F,30 to 39,10990,1466,13.34
01/01/2015 12:00:00 AM,Western,F,40 to 49,13362,1585,11.86
01/01/2015 12:00:00 AM,Western,F,50 to 59,18325,2051,11.19
01/01/2015 12:00:00 AM,Western,F,60 to 69,16707,1924,11.52
01/01/2015 12:00:00 AM,Western,F,70 to 79,10220,1051,10.28
01/01/2015 12:00:00 AM,Western,F,80 +,7530,614,8.15
01/01/2015 12:00:00 AM,Western,M,0 to 9,8798,604,6.87
01/01/2015 12:00:00 AM,Western,M,10 to 19,10245,2282,22.27
01/01/2015 12:00:00 AM,Western,M,20 to 29,10694,2293,21.44
01/01/2015 12:00:00 AM,Western,M,30 to 39,10523,958,9.1
01/01/2015 12:00:00 AM,Western,M,40 to 49,13009,905,6.96
01/01/2015 12:00:00 AM,Western,M,50 to 59,17700,1087,6.14
01/01/2015 12:00:00 AM,Western,M,60 to 69,16150,988,6.12
01/01/2015 12:00:00 AM,Western,M,70 to 79,9582,604,6.3
01/01/2015 12:00:00 AM,Western,M,80 +,4948,317,6.41
01/01/2016 12:00:00 AM,Central,F,0 to 9,20896,946,4.53
01/01/2016 12:00:00 AM,Central,F,10 to 19,21666,3435,15.85
01/01/2016 12:00:00 AM,Central,F,20 to 29,30153,5459,18.1
01/01/2016 12:00:00 AM,Central,F,30 to 39,32474,4384,13.5
01/01/2016 12:00:00 AM,Central,F,40 to 49,32614,4213,12.92
01/01/2016 12:00:00 AM,Central,F,50 to 59,35379,4760,13.45
